종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
"325020","KODEX 배당가치","2019/05/31","주식-전략-배당","삼성자산운용","91.51","FnGuide SLV 배당가치 지수","0.96","175006613739","0.00","매우높음","실물(패시브)","0.300000","비과세"
"244670","KODEX 밸류Plus","2016/05/13","주식-전략-가치","삼성자산운용","44.36","FnGuide 벨류 Plus 지수","1.12","7250802802","-0.37","매우높음","실물(패시브)","0.300000","비과세"
"140700","KODEX 보험","2011/04/26","주식-업종섹터-금융","삼성자산운용","78.01","KRX 보험","2.00","55953302025","0.32","매우높음","실물(패시브)","0.450000","비과세"
"102780","KODEX 삼성그룹","2008/05/21","주식-전략-기업그룹","삼성자산운용","126.37","삼성그룹","0.62","2645979567189","0.01","매우높음","실물(패시브)","0.250000","비과세"
"213610","KODEX 삼성그룹밸류","2015/01/08","주식-전략-기업그룹","삼성자산운용","116.70","WISE 삼성그룹 밸류 인덱스","0.42","261572819150","-0.08","매우높음","실물(패시브)","0.090000","비과세"
"325010","KODEX 성장주","2019/05/31","주식-전략-성장","삼성자산운용","137.82","FnGuide 성장 지수(PR)","0.36","170025641656","0.04","매우높음","실물(패시브)","0.300000","비과세"
"385510","KODEX 신재생에너지액티브","2021/05/25","주식-전략-전략테마","삼성자산운용","149.58","FnGuide K-신재생에너지 플러스 지수","18.28","252737488055","0.24","매우높음","실물(액티브)","0.500000","배당소득세(보유기간과세)"
"117460","KODEX 에너지화학","2009/10/12","주식-업종섹터-에너지화학","삼성자산운용","54.13","KRX 에너지화학","0.56","35591772554","-0.28","매우높음","실물(패시브)","0.450000","비과세"
"275300","KODEX 우량주","2017/07/11","주식-전략-혼합/퀀트","삼성자산운용","166.80","MSCI Korea IMI Quality Capped","0.59","37803489548","0.33","매우높음","실물(패시브)","0.300000","비과세"
"140710","KODEX 운송","2011/04/26","주식-업종섹터-산업재","삼성자산운용","30.56","KRX 운송","1.02","13142314326","-0.25","매우높음","실물(패시브)","0.450000","비과세"
"0098F0","KODEX 원자력SMR","2025/09/16","주식-업종섹터-업종테마","삼성자산운용","0.00","iSelect 원자력SMR 지수(Price Return)","0.15","300880509154","-0.18","매우높음","실물(패시브)","0.450000","비과세"
"395150","KODEX 웹툰&드라마","2021/07/30","주식-업종섹터-업종테마","삼성자산운용","-8.82","FnGuide 웹툰&드라마 지수","0.71","12060547768","-0.04","매우높음","실물(패시브)","0.450000","비과세"
